Trans_ID,Product_ID,Cust_ID,Purchase_Date,GLYear,Week,GLPeriod,Selling_Branch,TONS
1300,8Z0197,ACCE,10/23/2023,2023,31,8,0400, 2.55 
1301,8Z0327,ACCE,10/24/2023,2023,31,8,0400, 24.06 
1302,8Z0328,ACCE,10/25/2023,2023,31,8,0400, 2.27 
1303,8Z0392,ACCE,10/26/2023,2023,31,8,0400, 2.07 
1304,8Z0111,ACCE,10/27/2023,2023,32,8,0400, 150.00 
1305,8Z0327,ACCE,10/28/2023,2023,32,8,0400, 12.29 
1306,8Z0328,ACCE,10/29/2023,2023,32,8,0400, 4.40 
1307,8Z0392,ACCE,10/30/2023,2023,32,8,0400, 3.33 
1308,8Z0111,ACCE,10/31/2023,2023,33,8,0400, 53.11 
1309,8Z0327,ACCE,11/1/2023,2023,33,8,0400, 21.44 
1310,7F0301,ARCO,11/2/2023,2023,33,8,0R01, 10.19 
1311,8Z0111,ACCE,11/3/2023,2023,34,8,0400, 70.04 
1312,8Z0327,ACCE,11/4/2023,2023,34,8,0400, 17.33 
1313,8Z0328,ACCE,11/5/2023,2023,34,8,0400, 6.68 
1314,8Z0071,ACCE,11/6/2023,2023,35,9,0400, 2.33 
1315,8Z0111,ACCE,11/7/2023,2023,35,9,0400, 82.86 
1316,8Z0197,ACCE,11/8/2023,2023,35,9,0400, 21.80 
1317,8Z0327,ACCE,11/9/2023,2023,35,9,0400, 3.37 
1318,8Z0064,INDU,11/10/2023,2023,36,9,0400, 1.33 
1319,8Z0111,ACCE,11/11/2023,2023,36,9,0400, 113.81 
1320,8Z0328,ACCE,11/12/2023,2023,36,9,0400, 9.98 
1321,8Z0392,ACCE,11/13/2023,2023,36,9,0400, (0.95)
1322,8Z0111,ACCE,11/14/2023,2023,37,9,0400, 119.17 
1323,8Z0327,ACCE,11/15/2023,2023,37,9,0400, 10.90 
1324,8Z0392,ACCE,11/16/2023,2023,37,9,0400, 6.43 
1325,7F0301,ARCO,11/17/2023,2023,37,9,0R01, 9.54 
1326,8Z0111,ACCE,11/18/2023,2023,38,9,0400, 115.46 
1327,8Z0197,ACCE,11/19/2023,2023,38,9,0400, 4.41 
1328,8Z0327,ACCE,11/20/2023,2023,38,9,0400, 13.58 
1329,8Z0392,ACCE,11/21/2023,2023,38,9,0400, 1.29 
1330,8Z0111,ACCE,11/22/2023,2023,39,9,0400, 62.66 
1331,8Z0328,ACCE,11/23/2023,2023,39,9,0400, 11.17 
1332,8Z0392,ACCE,11/24/2023,2023,39,9,0400, 0.25 
1333,7F0301,ARCO,11/25/2023,2023,39,9,0R01, 9.33 
1334,8Z0111,ACCE,11/26/2023,2023,40,10,0400, 86.53 
1335,8Z0197,ACCE,11/27/2023,2023,40,10,0400, 3.48 
1336,8Z0327,ACCE,11/28/2023,2023,40,10,0400, 5.28 
1337,8Z0328,ACCE,11/29/2023,2023,40,10,0400, 2.24 
1338,8Z0392,ACCE,11/30/2023,2023,40,10,0400, 22.62 
1339,8Z0111,ACCE,12/1/2023,2023,41,10,0400, 87.69 
1340,8Z0197,ACCE,12/2/2023,2023,41,10,0400, 23.97 
1341,8Z0328,ACCE,12/3/2023,2023,41,10,0400, 36.01 
1342,8Z0392,ACCE,12/4/2023,2023,41,10,0400, 1.99 
1343,8Z0111,ACCE,12/5/2023,2023,42,10,0400, 39.84 
1344,8Z0392,ACCE,12/6/2023,2023,42,10,0400, 1.39 
1345,7F0301,ARCO,12/7/2023,2023,42,10,0R01, 8.11 
1346,8Z0111,ACCE,12/8/2023,2023,43,10,0400, 146.60 
1347,8Z0197,ACCE,12/9/2023,2023,43,10,0400, 0.91 
1348,8Z0327,ACCE,12/10/2023,2023,43,10,0400, 15.28 
1349,8Z0328,ACCE,12/11/2023,2023,43,10,0400, 11.35 
1350,8Z0392,ACCE,12/12/2023,2023,43,10,0400, 21.21 
1351,8Z0111,ACCE,12/13/2023,2023,44,11,0400, 188.60 
1352,8Z0197,ACCE,12/14/2023,2023,44,11,0400, 2.49 
1353,8Z0327,ACCE,12/15/2023,2023,44,11,0400, 10.87 
1354,8Z0328,ACCE,12/16/2023,2023,44,11,0400, 10.01 
1355,8Z0111,ACCE,12/17/2023,2023,45,11,0400, 101.00 
1356,8Z0197,ACCE,12/18/2023,2023,45,11,0400, 1.73 
1357,8Z0327,ACCE,12/19/2023,2023,45,11,0400, 6.77 
1358,8Z0328,ACCE,12/20/2023,2023,45,11,0400, 4.65 
1359,7F0301,ARCO,12/21/2023,2023,45,11,0R01, 8.10 
1360,8Z0111,ACCE,12/22/2023,2023,46,11,0400, 36.62 
1361,8Z0197,ACCE,12/23/2023,2023,46,11,0400, 4.36 
1362,8Z0327,ACCE,12/24/2023,2023,46,11,0400, 17.27 
1363,8Z0328,ACCE,12/25/2023,2023,46,11,0400, 9.64 
1364,8Z0392,ACCE,12/26/2023,2023,46,11,0400, 0.61 
1365,8Z0111,ACCE,12/27/2023,2023,47,11,0400, 20.60 
1366,8Z0111,ACCE,12/28/2023,2023,48,12,0400, 61.58 
1367,8Z0197,ACCE,12/29/2023,2023,48,12,0400, 1.60 
1368,8Z0328,ACCE,12/30/2023,2023,48,12,0400, 7.26 
1369,8Z0392,ACCE,3/7/2023,2023,48,12,0400, 2.43 
1370,8Z0111,ACCE,3/8/2023,2023,49,12,0400, 78.01 
1371,8Z0392,ACCE,3/9/2023,2023,49,12,0400, 20.95 
1372,7F0301,ARCO,3/10/2023,2023,49,12,0R01, 8.30 
1373,8Z0111,ACCE,3/11/2023,2023,50,12,0400, 95.72 
